method,n_seeds,mean_accuracy_percent,std_accuracy_percent,ci95_low_percent,ci95_high_percent,seeds
dyna_entropy,3,62.64333333333334,0.18147543451754675,62.19252336269761,63.09414330396907,"13,42,2026"
equal,3,62.28333333333333,0.1650252505931509,61.87338788494892,62.693278781717744,"13,42,2026"
dyna_drop_att,3,62.07666666666666,0.32347076117221807,61.27312075020013,62.88021258313319,"13,42,2026"
gem,3,61.71333333333334,0.3636390151418444,60.810003942366926,62.61666272429975,"13,42,2026"
att_avg,3,61.393333333333324,0.23671361036774458,60.80530412694152,61.981362539725126,"13,42,2026"
avg,3,61.38666666666666,0.5485739087245491,60.02393353233862,62.74939980099471,"13,42,2026"
att,3,61.35,0.32140317359976134,60.55159025579449,62.148409744205516,"13,42,2026"
dyna_att_only,3,61.32,0.353411940941444,60.44207606973536,62.19792393026464,"13,42,2026"
dyna_drop_gem,3,61.17333333333334,0.3955165398985646,60.19081578096249,62.15585088570419,"13,42,2026"
dyna,3,61.163333333333334,0.3008875759039141,60.41588715904254,61.91077950762413,"13,42,2026"
dyna_drop_avg,3,61.126666666666665,0.20033305601755672,60.62901176730943,61.6243215660239,"13,42,2026"
dyna_drop_max,3,61.06,0.38431757701151703,60.10530221366901,62.01469778633099,"13,42,2026"
att_gem,3,60.93666666666667,0.1504437879519555,60.562943579521274,61.31038975381206,"13,42,2026"
att_max,3,60.830000000000005,0.41581245772583314,59.79706459276047,61.86293540723954,"13,42,2026"
static_mean,3,60.599999999999994,0.14106735979665572,60.24956925163641,60.95043074836358,"13,42,2026"
max,3,59.18000000000001,0.39962482405376454,58.187276904028764,60.17272309597125,"13,42,2026"
