method,seed,accuracy,accuracy_percent,validation_loss,learned_gem_p,elapsed_seconds
att,13,0.6119,61.19,1.8968208946228027,,2403.949814293992
att,42,0.6172,61.72,1.884368898010254,,2375.8429524730013
att,2026,0.6114,61.14000000000001,1.9069406352996827,,3222.663369920997
att_avg,13,0.6153,61.529999999999994,1.8865425468444825,,2438.7827099719993
att_avg,42,0.6153,61.529999999999994,1.8988145378112793,,2449.936247183
att_avg,2026,0.6112,61.12,1.918547764968872,,2438.9298875820004
att_gem,13,0.6084,60.84,1.9122568912506104,0.6945449709892273,2443.5219931559986
att_gem,42,0.6111,61.11,1.9018093450546265,0.6946762800216675,2441.3241243630073
att_gem,2026,0.6086,60.86,1.9138143648147583,0.6944859027862549,2434.4624862969977
att_max,13,0.6131,61.309999999999995,1.900004892730713,,2461.3917666909892
att_max,42,0.606,60.6,1.916979681777954,,2436.5352301919957
att_max,2026,0.6058,60.58,1.923014192199707,,2433.5368685640005
avg,13,0.6162,61.62,1.8143246841430665,,2414.9479471780032
avg,42,0.6076,60.760000000000005,1.8352305358886718,,2418.0439356680017
avg,2026,0.6178,61.78,1.82594250831604,,2423.4438720840026
dyna,13,0.6145,61.45,1.9035735649108887,0.6940648555755615,2409.2711922750013
dyna,42,0.6119,61.19,1.910321683883667,0.6934128403663635,2421.608494785002
dyna,2026,0.6085,60.85,1.914970021057129,0.6935868859291077,2420.2732970800125
dyna_att_only,13,0.6119,61.19,1.8968208946228027,,2414.7217901270124
dyna_att_only,42,0.6172,61.72,1.884368898010254,,2404.699713710015
dyna_att_only,2026,0.6105,61.050000000000004,1.9223697452545165,,2392.259179636996
dyna_drop_att,13,0.619,61.9,1.816523582458496,2.672603130340576,2417.613441236007
dyna_drop_att,42,0.6245,62.45,1.8049338287353516,2.7186737060546875,2410.509744368994
dyna_drop_att,2026,0.6188,61.88,1.8266218109130858,2.7117018699645996,2434.872198438001
dyna_drop_avg,13,0.609,60.9,1.8995447067260742,0.693730890750885,2401.863346839991
dyna_drop_avg,42,0.6128,61.28,1.8972374629974365,0.693976879119873,2395.856210644999
dyna_drop_avg,2026,0.612,61.199999999999996,1.9182774478912354,0.6938008069992065,2397.2905855890094
dyna_drop_gem,13,0.6079,60.79,1.9173744888305664,,2402.798831363001
dyna_drop_gem,42,0.6158,61.58,1.8896842987060547,,2403.038355436007
dyna_drop_gem,2026,0.6115,61.150000000000006,1.9077659431457519,,2409.0444849160003
dyna_drop_max,13,0.6137,61.370000000000005,1.9055592269897461,0.6940873265266418,2402.009491366989
dyna_drop_max,42,0.6118,61.18,1.8948500679016114,0.6939907670021057,2393.2834706079884
dyna_drop_max,2026,0.6063,60.629999999999995,1.9169321807861328,0.6930971145629883,2410.2037099349945
dyna_entropy,13,0.6251,62.51,1.7861754951477051,2.631988048553467,2412.375589619005
dyna_entropy,42,0.6257,62.57,1.7749170455932617,2.8348183631896973,2420.172061968997
dyna_entropy,2026,0.6285,62.849999999999994,1.7814008560180663,2.7604024410247803,2425.124627228004
equal,13,0.6242,62.419999999999995,1.8334136611938476,7.973710060119629,2387.816010642018
equal,42,0.6233,62.33,1.833168268585205,7.979784965515137,2408.22584083298
equal,2026,0.621,62.1,1.8556690868377685,8.047069549560547,2387.5551988930024
gem,13,0.6213,62.129999999999995,1.8648603805541992,8.842938423156738,2403.1538725329956
gem,42,0.6146,61.46,1.8717881126403808,8.875550270080566,2404.1252772200023
gem,2026,0.6155,61.550000000000004,1.8600449531555177,8.880377769470215,2404.492487659001
max,13,0.5875,58.75,1.9531703269958496,,2419.3798430659936
max,42,0.5954,59.540000000000006,1.9378312042236328,,2412.556699576
max,2026,0.5925,59.25,1.9422668670654297,,2404.662168923005
static_mean,13,0.6062,60.62,1.904608211517334,0.6949713230133057,2398.1189046599984
static_mean,42,0.6045,60.45,1.910930594444275,0.6949174404144287,2397.311313828003
static_mean,2026,0.6073,60.73,1.9073125419616699,0.6949387192726135,2394.187162918004
