method_a,method_b,seed,a_correct_b_wrong,a_wrong_b_correct,discordant_total,exact_mcnemar_pvalue_two_sided,role
dyna,avg,13,951,968,1919,0.714939918157893,auxiliary per-seed evidence; multi-seed paired test is primary
dyna,avg,42,947,904,1851,0.32895829722757713,auxiliary per-seed evidence; multi-seed paired test is primary
dyna,avg,2026,910,1003,1913,0.035399820919433674,auxiliary per-seed evidence; multi-seed paired test is primary
dyna,att,13,887,861,1748,0.5498814676333645,auxiliary per-seed evidence; multi-seed paired test is primary
dyna,att,42,832,885,1717,0.2094928427358068,auxiliary per-seed evidence; multi-seed paired test is primary
dyna,att,2026,826,855,1681,0.49466451436098663,auxiliary per-seed evidence; multi-seed paired test is primary
dyna_entropy,dyna,13,863,757,1620,0.009066770908090868,auxiliary per-seed evidence; multi-seed paired test is primary
dyna_entropy,dyna,42,929,791,1720,0.0009499220609653307,auxiliary per-seed evidence; multi-seed paired test is primary
dyna_entropy,dyna,2026,938,738,1676,1.136550209887501e-06,auxiliary per-seed evidence; multi-seed paired test is primary
static_mean,dyna,13,803,886,1689,0.045982762327646864,auxiliary per-seed evidence; multi-seed paired test is primary
static_mean,dyna,42,789,863,1652,0.07245487327215709,auxiliary per-seed evidence; multi-seed paired test is primary
static_mean,dyna,2026,840,852,1692,0.7891558789258624,auxiliary per-seed evidence; multi-seed paired test is primary
equal,dyna,13,945,848,1793,0.023354147624981794,auxiliary per-seed evidence; multi-seed paired test is primary
equal,dyna,42,957,843,1800,0.007717442147457994,auxiliary per-seed evidence; multi-seed paired test is primary
equal,dyna,2026,953,828,1781,0.0032894613406518635,auxiliary per-seed evidence; multi-seed paired test is primary
dyna_att_only,dyna,13,861,887,1748,0.5498814676333645,auxiliary per-seed evidence; multi-seed paired test is primary
dyna_att_only,dyna,42,885,832,1717,0.2094928427358068,auxiliary per-seed evidence; multi-seed paired test is primary
dyna_att_only,dyna,2026,838,818,1656,0.6405849240147534,auxiliary per-seed evidence; multi-seed paired test is primary
dyna_drop_avg,dyna,13,816,871,1687,0.1885851248901288,auxiliary per-seed evidence; multi-seed paired test is primary
dyna_drop_avg,dyna,42,838,829,1667,0.8446648312296854,auxiliary per-seed evidence; multi-seed paired test is primary
dyna_drop_avg,dyna,2026,835,800,1635,0.4004373896484595,auxiliary per-seed evidence; multi-seed paired test is primary
dyna_drop_max,dyna,13,823,831,1654,0.8633501381917307,auxiliary per-seed evidence; multi-seed paired test is primary
dyna_drop_max,dyna,42,828,829,1657,1.0,auxiliary per-seed evidence; multi-seed paired test is primary
dyna_drop_max,dyna,2026,856,878,1734,0.6140585739106234,auxiliary per-seed evidence; multi-seed paired test is primary
dyna_drop_gem,dyna,13,782,848,1630,0.1073743632013309,auxiliary per-seed evidence; multi-seed paired test is primary
dyna_drop_gem,dyna,42,883,844,1727,0.36050917937663396,auxiliary per-seed evidence; multi-seed paired test is primary
dyna_drop_gem,dyna,2026,868,838,1706,0.48261807561114384,auxiliary per-seed evidence; multi-seed paired test is primary
dyna_drop_att,dyna,13,863,818,1681,0.2831909170700858,auxiliary per-seed evidence; multi-seed paired test is primary
dyna_drop_att,dyna,42,912,786,1698,0.002407721289820843,auxiliary per-seed evidence; multi-seed paired test is primary
dyna_drop_att,dyna,2026,882,779,1661,0.012300657811689247,auxiliary per-seed evidence; multi-seed paired test is primary
