method,trial,latency_ms
avg,1,2.5791809699997734
avg,2,2.5535539633331914
avg,3,2.530685620000289
avg,4,2.5334814233330385
avg,5,2.5301855300002294
avg,6,2.532451366666919
avg,7,2.536016120000113
avg,8,2.545361389999622
avg,9,2.505627650000406
avg,10,2.4950138833332858
max,1,2.5341673233333495
max,2,2.5350465599998038
max,3,2.561042793333854
max,4,2.5538896433333016
max,5,2.574390866666363
max,6,2.590825729999627
max,7,2.5400201599995853
max,8,2.518753549999625
max,9,2.533508129999973
max,10,2.531789293333683
gem,1,2.719480293333163
gem,2,2.710730676666723
gem,3,2.7130700399993657
gem,4,2.707276459999927
gem,5,2.707357190000342
gem,6,2.707200566666567
gem,7,2.708187523332981
gem,8,2.738394616666634
gem,9,2.70571645333348
gem,10,2.7064711266666563
att,1,2.659670543333353
att,2,2.661228149999412
att,3,2.659731003333642
att,4,2.6649457833332235
att,5,2.6510099766665007
att,6,2.6532603666661694
att,7,2.6585278999997777
att,8,2.663318340000084
att,9,2.658524533333093
att,10,2.657367733333255
dyna,1,3.1894946266667525
dyna,2,3.1942412466666306
dyna,3,3.1848691433333443
dyna,4,3.2213643333337436
dyna,5,3.197605416667102
dyna,6,3.200243293333642
dyna,7,3.309087153333318
dyna,8,3.1553124299997157
dyna,9,3.1625021766664454
dyna,10,3.1655343533331384
